,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time
134,trainjob-26ecfb5b-2c38-4b7a-a2f1-f75dfa2d938f-master-0   1/1     Running           0          6s,3,1125m,0.04,512,3,,54.60773205757141
135,trainjob-73837cc2-8de3-4329-b088-590bf1c17fa0-master-0   1/1     Running           0          7s,3,1000m,0.01,128,1,,66.60705018043518
136,trainjob-b8db97f9-f291-43b6-8084-01962338b678-master-0   1/1     Running   0          7s,3,1000m,0.01,128,2,,71.10366153717041
137,trainjob-082c752f-816a-417b-a80a-fb744088bf22-master-0   1/1     Running   0          6s,3,1000m,0.01,128,3,,64.77372527122498
138,trainjob-8b541041-440d-4fc0-ac31-40e48782cab2-master-0   1/1     Running           0          6s,3,1000m,0.01,256,1,,61.88926458358765
139,trainjob-77aff00c-d1e8-4bae-a192-2bbe6d0103c8-master-0   1/1     Running   0          8s,3,1000m,0.01,256,2,,62.21481943130493
140,trainjob-c3639706-849d-414f-a4fa-66c30ac8acc9-master-0   1/1     Running   0          6s,3,1000m,0.01,256,3,,61.22758483886719
141,trainjob-ebaf0840-839f-4ddf-8182-f3b9668df1be-master-0   1/1     Running           0          6s,3,1000m,0.01,512,1,,61.82246422767639
142,trainjob-439618a6-7e3b-4f05-8e67-3687ccdc29ac-master-0   1/1     Running    0          5s,3,1000m,0.01,512,2,,63.79384160041809
143,trainjob-5fc2a62a-a7ca-4eea-9642-fbba61f65fa9-master-0   1/1     Running   0          5s,3,1000m,0.01,512,3,,61.5565230846405
144,trainjob-a0cbcb38-8a1f-422e-b076-d458d49fda22-master-0   1/1     Running           0          6s,3,1000m,0.02,128,1,,66.01584053039551
145,trainjob-148304d1-d0b3-4926-a185-d6fd3a77cdad-master-0   1/1     Running   0          6s,3,1000m,0.02,128,2,,67.28642678260803
146,trainjob-6ed20b4a-ddcc-44ee-8d1a-2c9c383c013b-master-0   1/1     Running   0          6s,3,1000m,0.02,128,3,,67.31129097938538
147,trainjob-77e31c4b-1836-4f50-82d9-9d654811b2d4-master-0   1/1     Running           0          7s,3,1000m,0.02,256,1,,62.212687492370605
148,trainjob-06dc8c99-57f2-4902-8f84-cc13c17a35ca-master-0   1/1     Running           0          6s,3,1000m,0.02,256,2,,60.817545890808105
149,trainjob-02fe6f56-9bba-48d8-bfc7-8cb16e5e0a70-master-0   1/1     Running   0          6s,3,1000m,0.02,256,3,,62.01204514503479
150,trainjob-50606f08-59fa-4b6b-9a31-e87de5114648-master-0   1/1     Running           0          6s,3,1000m,0.02,512,1,,62.59288716316223
151,trainjob-be41cbcb-4ca7-4486-aeda-86d9b38e4780-master-0   1/1     Running   0          5s,3,1000m,0.02,512,2,,62.02462673187256
152,trainjob-b45eec1d-b250-45d1-8c11-d924aaadb478-master-0   1/1     Running   0          5s,3,1000m,0.02,512,3,,62.884727001190186
153,trainjob-8ef8bd50-de08-4341-891b-3a6a16209ceb-master-0   1/1     Running   0          8s,3,1000m,0.04,128,1,,69.56847381591797
154,trainjob-db35c789-16bd-4caa-9e1a-3c93e7246653-master-0   1/1     Running   0          6s,3,1000m,0.04,128,2,,67.51130962371826
155,trainjob-51ffcfcc-cdcc-46b4-957a-ae09f1d8690e-master-0   1/1     Running           0          5s,3,1000m,0.04,128,3,,64.09724259376526
156,trainjob-3049a842-02c6-43fb-a166-f5a95aa97da3-master-0   1/1     Running           0          6s,3,1000m,0.04,256,1,,62.905874729156494
