jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments
trainjob-af51d74b-558d-43eb-96e4-a1e049d5f1c9-master-0   1/1     Running   0          5s,2,1250m,0.02,256,2,
trainjob-98f4a2d0-64ee-4bb0-b2df-4488d7b4ced3-master-0   1/1     Running   0          5s,2,1250m,0.02,256,3,
trainjob-d8e147ee-5a61-40ae-bc36-55897e26ce66-master-0   1/1     Running           0          6s,2,1250m,0.02,512,1,
trainjob-707c3ab7-16b4-4d4e-8fd8-99ba243247b6-master-0   1/1     Running   0          5s,2,1250m,0.02,512,2,
trainjob-306acf1d-9b40-4374-9f6c-e0522871cd1e-master-0   1/1     Running   0          6s,2,1250m,0.02,512,3,
trainjob-41d26b5c-efb0-4fbe-a8ec-ffd963beb8d2-master-0   1/1     Running           0          6s,2,1250m,0.04,128,1,
trainjob-fe823abb-82e3-44b1-b87a-c53ab620bcbb-master-0   1/1     Running   0          5s,2,1250m,0.04,128,2,
trainjob-cd7e8029-ebed-4a47-9565-72f99ffb2d99-master-0   1/1     Running   0          5s,2,1250m,0.04,128,3,
trainjob-035f706c-1ba8-4ff4-8025-ae60292c48d7-master-0   1/1     Running           0          6s,2,1250m,0.04,256,1,
trainjob-d2458e77-4d40-474d-92b2-113c1ca1ea5c-master-0   1/1     Running           0          6s,2,1250m,0.04,256,2,
trainjob-656ab4b8-6cbe-4ff6-82a4-946eed0e928d-master-0   1/1     Running   0          5s,2,1250m,0.04,256,3,
trainjob-f6300d83-d52b-461c-b737-4d6c82045a96-master-0   1/1     Running           0          6s,2,1250m,0.04,512,1,
trainjob-f305b96f-edd6-4c8e-95ce-bcc1ca0ba9c8-master-0   1/1     Running   0          5s,2,1250m,0.04,512,2,
trainjob-b5f992bd-6d97-4484-aa54-2b2011688f88-master-0   1/1     Running           0          5s,2,1250m,0.04,512,3,
trainjob-31e320d0-9d7b-45c1-9c44-a64a28ffd384-master-0   1/1     Running           0          6s,2,1125m,0.01,128,1,
trainjob-fd199d84-14d9-45a2-abfa-21b87a82286a-master-0   1/1     Running   0          8s,2,1125m,0.01,128,2,
trainjob-c19621e6-4a86-4893-ab8c-287d0ec0b71a-master-0   1/1     Running   0          8s,2,1125m,0.01,128,3,
trainjob-c9c723b3-f304-4340-a8ed-f8e3bc66c56c-master-0   1/1     Running           0          7s,2,1125m,0.01,256,1,
trainjob-552883b6-55eb-4f0b-9152-b2596534239c-master-0   1/1     Running   0          6s,2,1125m,0.01,256,2,
trainjob-5f827716-32cd-47fe-825f-66c822861c76-master-0   1/1     Running   0          5s,2,1125m,0.01,256,3,
trainjob-85eb1f3a-a20a-4573-bc9f-a511e05ddb94-master-0   1/1     Running           0          6s,2,1125m,0.01,512,1,
trainjob-f98f1722-7529-4e91-9802-57c729d050b6-master-0   1/1     Running   0          7s,2,1125m,0.01,512,2,
trainjob-95b9b519-671c-4ea2-af29-511275704475-master-0   1/1     Running   0          5s,2,1125m,0.01,512,3,
trainjob-c61a3d87-e1f7-4529-815f-cf046d6ddb1f-master-0   1/1     Running    0          6s,2,1125m,0.02,128,1,
trainjob-19970750-9849-4b4e-b486-c54161dc782c-master-0   1/1     Running   0          6s,2,1125m,0.02,128,2,
trainjob-5c873b23-4b43-43fe-ab01-0f30c2bec607-master-0   1/1     Running   0          6s,2,1125m,0.02,128,3,
trainjob-8ef23d44-dfa0-4cc9-a793-ac9e5936b3cf-master-0   1/1     Running           0          6s,2,1125m,0.02,256,1,
trainjob-4e61ae2e-c078-489b-8091-2c921483b111-master-0   1/1     Running           0          6s,2,1125m,0.02,256,2,
trainjob-511a62dc-1086-4aea-89dc-32cc7e30560a-master-0   1/1     Running   0          5s,2,1125m,0.02,256,3,
trainjob-5250bb41-3e3d-4d55-bce6-b5cd18c547bf-master-0   1/1     Running           0          6s,2,1125m,0.02,512,1,
trainjob-69c25979-fe7e-41fe-a4e0-debd42bd2700-master-0   1/1     Running   0          6s,2,1125m,0.02,512,2,
trainjob-d5b9a9c3-1bf8-428b-bdfc-c19618c658c5-master-0   1/1     Running   0          5s,2,1125m,0.02,512,3,
trainjob-494f3960-83d1-4f0e-bbaa-d6d4a63cc6b4-master-0   1/1     Running   0          8s,2,1125m,0.04,128,1,
trainjob-91e004d6-b625-4383-b790-f815ac1eea64-master-0   1/1     Running   0          5s,2,1125m,0.04,128,2,
trainjob-f44893e7-c955-409f-af4e-f50af5c49494-master-0   1/1     Running   0          5s,2,1125m,0.04,128,3,
trainjob-ffe6f2a8-875c-4a56-a648-4c548b8791b8-master-0   1/1     Running           0          6s,2,1125m,0.04,256,1,
trainjob-47856431-78dc-48fb-833e-7961dea83935-master-0   1/1     Running    0          5s,2,1125m,0.04,256,2,
trainjob-b629d783-57bc-462e-8e7d-1f2f0860c04a-master-0   1/1     Running   0          6s,2,1125m,0.04,256,3,
trainjob-1916ad3e-4f22-42df-b7f3-6fcf1f51aacf-master-0   1/1     Running           0          6s,2,1125m,0.04,512,1,
trainjob-218c34e6-125d-4bd8-8f41-6a939f9cc0bb-master-0   1/1     Running    0          5s,2,1125m,0.04,512,2,
trainjob-da59a018-ad96-43cd-bdfb-0c061c79f23d-master-0   1/1     Running   0          6s,2,1125m,0.04,512,3,
trainjob-9f77ed16-11b6-4ee5-8c0d-36b009f72ff7-master-0   1/1     Running   0          8s,2,1000m,0.01,128,1,
trainjob-87611e36-90c2-4dc8-83a6-27c22dd09d05-master-0   1/1     Running   0          5s,2,1000m,0.01,128,2,
trainjob-97fdc55f-022d-4dbd-8831-4cd67967db25-master-0   1/1     Running   0          5s,2,1000m,0.01,128,3,
trainjob-948f179d-2176-47b7-8a17-9010e427ff54-master-0   1/1     Running           0          7s,2,1000m,0.01,256,1,
