,jobPodName,dataParallelism,executorCore,learningRate,batchSize,run,comments,running_time,accuracy
112,trainjob-fdf45448-6798-4943-bb0f-afacc8f82aba-master-0   1/1     Running           0          5s,3,1125m,0.01,256,2,,57.182679176330566,87.61248016357422
113,trainjob-92ed63f8-3aec-4448-9e36-64c5db72c4df-master-0   1/1     Running           0          6s,3,1125m,0.01,256,3,,54.89127564430237,87.37252807617188
114,trainjob-36a8948d-b6f7-42cd-a24a-5e71c7b90124-master-0   1/1     Running           0          7s,3,1125m,0.01,512,1,,56.00088095664978,86.02279663085938
115,trainjob-95a85c31-7b8c-494a-ae2f-a3b2ebf0c42a-master-0   1/1     Running   0          6s,3,1125m,0.01,512,2,,54.3169424533844,86.38272094726562
116,trainjob-bb901610-3e39-4aa6-b8b6-5e03edcb44c9-master-0   1/1     Running   0          5s,3,1125m,0.01,512,3,,56.07561898231506,87.0125961303711
117,trainjob-8ceb4bf6-7591-4c94-8ed5-54a385e344d9-master-0   1/1     Running           0          7s,3,1125m,0.02,128,1,,58.84261775016785,87.31253814697266
118,trainjob-1fb22e68-fc61-4e6e-ac28-5fb371e947e2-master-0   1/1     Running   0          5s,3,1125m,0.02,128,2,,60.790522813797,87.552490234375
119,trainjob-301e778c-d33c-44fe-8ad0-273de6b2feb1-master-0   1/1     Running   0          6s,3,1125m,0.02,128,3,,59.16895246505737,86.92261505126953
120,trainjob-262335f3-9455-4f5e-b592-519fe143148c-master-0   1/1     Running           0          7s,3,1125m,0.02,256,1,,56.00678586959839,88.24234771728516
121,trainjob-d98ad370-bfbe-4d43-988d-1e7da692e37b-master-0   1/1     Running           0          6s,3,1125m,0.02,256,2,,54.07841181755066,88.03239440917969
122,trainjob-108f95ba-e74b-4345-8dc7-39de4efd5a2c-master-0   1/1     Running   0          5s,3,1125m,0.02,256,3,,55.882285594940186,87.82243347167969
123,trainjob-a26c30ef-732e-42c0-aee9-5cbd12c80c45-master-0   1/1     Running           0          6s,3,1125m,0.02,512,1,,54.573553800582886,86.65267181396484
124,trainjob-b497cb44-01d3-4163-8795-4ce6adb958a1-master-0   1/1     Running           0          6s,3,1125m,0.02,512,2,,54.79182553291321,86.44271087646484
125,trainjob-8f6beb20-e559-460a-b3a7-018d11ebb7d7-master-0   1/1     Running   0          5s,3,1125m,0.02,512,3,,54.707404136657715,87.16256713867188
126,trainjob-b7cec031-756f-4b50-ad74-e0057b62467d-master-0   1/1     Running           0          7s,3,1125m,0.04,128,1,,59.67254567146301,86.89262390136719
127,trainjob-e8363cef-c230-4fa0-93fd-f90b22445edd-master-0   1/1     Running   0          5s,3,1125m,0.04,128,2,,59.62335515022278,86.50270080566406
128,trainjob-059f92c2-4166-4dcb-8195-54956e85b06f-master-0   1/1     Running   0          5s,3,1125m,0.04,128,3,,60.21102499961853,85.63287353515625
129,trainjob-7f9c8290-d2a0-40ad-8c76-211d02aa09eb-master-0   1/1     Running           0          6s,3,1125m,0.04,256,1,,54.38711881637573,88.03239440917969
130,trainjob-fb71a2c7-cf88-4e48-84a9-56832e001645-master-0   1/1     Running           0          5s,3,1125m,0.04,256,2,,53.60357689857483,85.72285461425781
131,trainjob-64170f49-0aae-4242-b17b-48fd2f26f3ff-master-0   1/1     Running   0          6s,3,1125m,0.04,256,3,,54.329378843307495,86.5326919555664
132,trainjob-e6d2f57f-a834-40e7-9d1f-b02ff17885c1-master-0   1/1     Running           0          6s,3,1125m,0.04,512,1,,53.886152505874634,86.92261505126953
133,trainjob-be5c6a99-bbab-49f7-b6e3-a03733f02a10-master-0   1/1     Running           0          5s,3,1125m,0.04,512,2,,55.77909755706787,86.11277770996094
134,trainjob-26ecfb5b-2c38-4b7a-a2f1-f75dfa2d938f-master-0   1/1     Running           0          6s,3,1125m,0.04,512,3,,54.60773205757141,85.09297943115234
135,trainjob-73837cc2-8de3-4329-b088-590bf1c17fa0-master-0   1/1     Running           0          7s,3,1000m,0.01,128,1,,66.60705018043518,87.552490234375
136,trainjob-b8db97f9-f291-43b6-8084-01962338b678-master-0   1/1     Running   0          7s,3,1000m,0.01,128,2,,71.10366153717041,87.58248138427734
137,trainjob-082c752f-816a-417b-a80a-fb744088bf22-master-0   1/1     Running   0          6s,3,1000m,0.01,128,3,,64.77372527122498,87.37252807617188
138,trainjob-8b541041-440d-4fc0-ac31-40e48782cab2-master-0   1/1     Running           0          6s,3,1000m,0.01,256,1,,61.88926458358765,86.71265411376953
